index,a_g,alpha_rad_s2,CP
0,0.0,0.0,0.0
1,1.0167,0.1746,0.0001
2,1.0093,0.0131,0.0001
3,1.0271,0.0439,0.0001
4,1.0116,0.0456,0.0001
5,1.0122,0.0273,0.0001
6,1.0089,0.0087,0.0001
7,1.0093,0.0384,0.0001
8,1.0041,0.0325,0.0001
9,1.0099,0.0321,0.0001
10,1.0071,0.046,0.0001
11,1.0212,0.0312,0.0001
12,1.0161,0.0305,0.0001
13,1.0138,0.0217,0.0001
14,1.0133,0.0041,0.0001
15,1.0158,0.0318,0.0001
16,1.0143,0.0328,0.0001
17,1.0117,0.029,0.0001
18,1.0081,0.0373,0.0001
19,1.0204,0.0161,0.0001
20,1.0135,0.0248,0.0001
21,1.017,0.0243,0.0001
22,1.0191,0.0189,0.0001
23,1.0127,0.0353,0.0001
24,1.0117,0.0202,0.0001
25,1.0141,0.0067,0.0001
26,1.0132,0.0109,0.0001
27,1.0161,0.0105,0.0001
28,1.0103,0.0664,0.0001
29,1.0146,0.0187,0.0001
30,1.0076,0.0228,0.0001
31,1.0094,0.0044,0.0001
32,1.0098,0.0621,0.0001
33,1.0139,0.0046,0.0001
34,1.0117,0.116,0.0001
35,1.0054,0.0157,0.0001
36,1.0107,0.0174,0.0001
37,1.01,0.0954,0.0001
38,1.0067,0.0287,0.0001
39,1.0119,0.1389,0.0001
40,1.0149,0.0101,0.0001
41,1.0145,0.0097,0.0001
42,1.0115,0.0722,0.0001
43,1.0135,0.0062,0.0001
44,1.014,0.0195,0.0001
45,1.0257,0.0097,0.0001
46,1.0125,0.0121,0.0001
47,1.0172,0.0945,0.0001
48,1.0159,0.0091,0.0001
49,1.0157,0.0271,0.0001
50,1.0238,0.0163,0.0001
51,1.0148,0.0156,0.0001
52,1.0121,0.0296,0.0001
53,1.013,0.0267,0.0001
54,1.0163,0.0095,0.0001
55,1.0091,0.0181,0.0001
56,1.0117,0.0214,0.0001
57,1.0184,0.0281,0.0001
58,1.0125,0.0059,0.0001
59,1.0175,0.032,0.0001
60,1.0079,0.0346,0.0001
61,1.0062,0.0257,0.0001
62,1.0172,0.0146,0.0001
63,1.0216,0.0136,0.0001
64,1.0155,0.0084,0.0001
65,1.0117,0.0125,0.0001
66,1.0149,0.0196,0.0001
67,1.0122,0.0374,0.0001
68,1.0166,0.0221,0.0001
69,1.0105,0.0212,0.0001
70,1.0176,0.0089,0.0001
71,1.0078,0.0238,0.0001
72,0.4444,21.694,0.0001
73,1.1381,15.9437,0.0001
74,0.9953,12.4557,0.0001
75,1.0382,5.367,0.0001
76,0.9847,2.4198,0.0001
77,0.9982,1.0687,0.0001
78,0.9985,0.4031,0.0001
79,1.0065,0.5083,0.0001
80,1.0081,0.1731,0.0001
81,1.0102,0.2859,0.0001
82,1.0123,0.2618,0.0001
83,1.0101,0.116,0.0001
84,1.0161,0.0221,0.0001
85,1.0042,0.0879,0.0001
86,1.0067,0.0718,0.0001
87,1.0166,0.0232,0.0001
88,1.0103,0.0368,0.0001
89,1.0079,0.0459,0.0001
90,1.0115,0.047,0.0001
91,1.0136,0.0514,0.0001
92,1.0113,0.0192,0.0001
93,1.0145,0.0587,0.0001
94,1.0052,0.0778,0.0001
95,1.0078,0.0767,0.0001
96,1.0045,0.076,0.0001
97,1.0055,0.055,0.0001
98,1.0101,0.0194,0.0001
99,1.0136,0.0365,0.0001
100,1.0129,0.0117,0.0001
101,1.0101,0.0303,0.0001
102,1.0083,0.0155,0.0001
103,1.007,0.0316,0.0001
104,1.0071,0.0298,0.0001
105,1.0098,0.0403,0.0001
106,1.0143,0.0403,0.0001
107,1.0078,0.0429,0.0001
108,1.0051,0.0318,0.0001
109,1.0146,0.0258,0.0001
110,1.0047,0.0399,0.0001
111,1.007,0.0156,0.0001
112,1.0162,0.0451,0.0001
113,1.0073,0.0151,0.0001
114,1.0178,0.0257,0.0001
115,1.0114,0.0209,0.0001
116,1.0173,0.0191,0.0001
117,1.0139,0.0456,0.0001
118,1.0125,0.0273,0.0001
119,1.0138,0.0206,0.0001
120,1.0112,0.0667,0.0001
121,1.0098,0.0725,0.0001
122,1.0146,0.0306,0.0001
123,1.0114,0.0385,0.0001
124,1.0131,0.0235,0.0001
125,1.0034,0.0347,0.0001
126,1.0057,0.0483,0.0001
127,1.005,0.0274,0.0001
128,1.0127,0.0118,0.0001
129,1.0042,0.0301,0.0001
130,1.0127,0.0212,0.0001
131,1.0098,0.0327,0.0001
132,1.0127,0.0176,0.0001
133,1.0077,0.0113,0.0001
134,1.0117,0.02,0.0001
135,1.014,0.0283,0.0001
136,1.0124,0.0429,0.0001
137,1.013,0.0302,0.0001
138,1.005,0.038,0.0001
139,1.0089,0.0237,0.0001
140,1.0089,0.0286,0.0001
141,1.005,0.033,0.0001
142,1.0084,0.0384,0.0001
143,1.0064,0.0089,0.0001
144,1.0125,0.0241,0.0001
145,1.0122,0.0193,0.0001
146,1.0129,0.0117,0.0001
147,1.0089,0.0405,0.0001
148,1.015,0.0208,0.0001
149,1.0152,0.0111,0.0001
150,1.0083,0.0282,0.0001
151,1.0191,0.0389,0.0001
152,1.0067,0.0235,0.0001
153,1.0044,0.0349,0.0001
154,1.0039,0.0381,0.0001
155,1.0111,0.039,0.0001
156,1.005,0.0206,0.0001
157,1.0055,0.0277,0.0001
158,1.0132,0.0404,0.0001
159,1.0096,0.0436,0.0001
160,1.0102,0.0286,0.0001
161,1.0148,0.0424,0.0001
162,1.0089,0.0356,0.0001
163,1.0123,0.0252,0.0001
164,1.0101,0.0181,0.0001
