index,a_g,alpha_rad_s2,CP
145,1.0118,0.0298,0.0001
146,1.0044,0.0357,0.0001
147,1.0055,0.0397,0.0001
148,1.012,0.045,0.0001
149,1.0071,0.0481,0.0001
150,1.0024,0.0309,0.0001
151,1.0173,0.021,0.0001
152,1.0069,0.0097,0.0001
153,1.0084,0.0293,0.0001
154,1.0058,0.0257,0.0001
155,1.0132,0.0167,0.0001
156,1.0095,0.0544,0.0001
157,1.0036,0.0182,0.0001
158,1.0017,0.038,0.0001
159,1.0011,0.0298,0.0001
160,1.0131,0.0432,0.0001
161,1.0067,0.0189,0.0001
162,1.0079,0.0472,0.0001
163,1.0115,0.0432,0.0001
164,1.0127,0.0426,0.0001
165,1.0132,0.0288,0.0001
166,1.0055,0.0273,0.0001
167,1.0158,0.0241,0.0001
168,1.005,0.0261,0.0001
169,1.005,0.0192,0.0001
170,1.0075,0.0193,0.0001
171,1.0089,0.0332,0.0001
172,1.0094,0.0101,0.0001
173,1.0073,0.0507,0.0001
174,1.0097,0.0358,0.0001
175,1.0026,0.0175,0.0001
176,1.0023,0.0159,0.0001
177,1.0092,0.024,0.0001
178,1.0067,0.0446,0.0001
179,1.0077,0.012,0.0001
180,1.0069,0.0319,0.0001
181,0.9998,0.0241,0.0001
182,1.008,0.0174,0.0001
183,0.9988,0.2081,0.0001
184,1.0018,0.0521,0.0001
185,1.0049,0.0315,0.0001
186,1.0074,0.0454,0.0001
187,1.0048,0.1004,0.0001
188,1.0091,0.0751,0.0001
189,1.0058,0.0442,0.0001
190,1.01,0.124,0.0001
191,0.9983,0.0244,0.0001
192,1.0084,0.0354,0.0001
193,1.008,0.0339,0.0001
194,1.0061,0.0167,0.0001
195,1.002,0.038,0.0001
196,1.011,0.0562,0.0001
197,1.0112,0.0178,0.0001
198,1.0048,0.0113,0.0001
199,1.0092,0.0043,0.0001
200,1.0126,0.0295,0.0001
201,1.0104,0.115,0.0001
202,1.0089,0.0127,0.0001
203,1.0057,0.0447,0.0001
204,1.0156,0.0452,0.0001
205,1.0039,0.1883,0.0001
206,1.0036,0.0348,0.0001
207,1.0083,0.0738,0.0001
208,1.0092,0.0479,0.0001
209,1.0048,0.1105,0.0001
210,1.0167,0.0305,0.0001
211,1.0089,0.0568,0.0001
212,1.0149,0.0459,0.0001
213,1.0077,0.0189,0.0001
214,1.0097,0.1621,0.0001
215,1.0069,0.0106,0.0001
216,1.0045,0.0232,0.0001
217,1.015,0.0649,0.0001
218,1.0045,0.1748,0.0001
219,1.0154,0.019,0.0001
220,1.0094,0.142,0.0001
221,1.0141,0.0217,0.0001
222,1.0138,0.0111,0.0001
223,1.0025,0.0205,0.0001
224,1.0083,0.0297,0.0001
225,1.0036,0.0461,0.0001
226,1.0033,0.0125,0.0001
227,1.0097,0.0147,0.0001
228,1.007,0.0481,0.0001
229,1.0122,0.0189,0.0001
230,1.0135,0.0298,0.0001
231,1.0158,0.0539,0.0001
232,1.0036,0.0237,0.0001
233,1.0007,0.047,0.0001
234,1.0057,0.0398,0.0001
235,1.0057,0.0129,0.0001
236,1.008,0.0299,0.0001
237,1.0038,0.0264,0.0001
238,1.0074,0.0318,0.0001
239,0.9955,0.0164,0.0001
240,1.0099,0.0507,0.0001
241,1.0074,0.0289,0.0001
242,1.0143,0.0361,0.0001
243,1.0112,0.0312,0.0001
244,1.0109,0.0207,0.0001
245,1.0103,0.0247,0.0001
246,1.0066,0.0247,0.0001
247,1.0063,0.0111,0.0001
248,1.0112,0.0166,0.0001
249,1.0114,0.022,0.0001
250,1.0173,0.0266,0.0001
251,1.0089,0.0506,0.0001
252,1.0061,0.0138,0.0001
253,1.0101,0.0224,0.0001
254,1.0119,0.0257,0.0001
255,1.0087,0.0208,0.0001
256,1.0092,0.0161,0.0001
257,1.0063,0.015,0.0001
258,1.0032,0.022,0.0001
259,1.006,0.0513,0.0001
260,1.0094,0.041,0.0001
261,1.0092,0.008,0.0001
262,1.0093,0.0209,0.0001
263,1.0103,0.0326,0.0001
264,1.0008,0.0573,0.0001
265,1.004,0.0335,0.0001
266,1.0114,0.0219,0.0001
267,1.007,0.0036,0.0001
268,1.0088,0.0127,0.0001
269,1.0103,0.0253,0.0001
270,1.0033,0.0303,0.0001
271,1.0053,0.0121,0.0001
272,1.0067,0.0305,0.0001
273,1.0082,0.0144,0.0001
274,1.0029,0.0348,0.0001
275,1.0066,0.0429,0.0001
276,1.011,0.0117,0.0001
277,1.0044,0.0227,0.0001
278,1.0169,0.0143,0.0001
279,1.0156,0.016,0.0001
280,1.012,0.0378,0.0001
281,1.0052,0.0176,0.0001
282,1.0158,0.0124,0.0001
283,1.0055,0.0252,0.0001
284,0.9998,0.0252,0.0001
285,1.0001,0.0488,0.0001
286,1.0069,0.045,0.0001
287,1.0055,0.0276,0.0001
288,1.008,0.0268,0.0001
289,1.0053,0.0282,0.0001
290,1.006,0.0097,0.0001
291,1.0128,0.0304,0.0001
292,1.0078,0.0181,0.0001
293,1.0041,0.0287,0.0001
294,1.0067,0.0181,0.0001
295,1.0123,0.0307,0.0001
296,1.004,0.0208,0.0001
297,1.0082,0.0249,0.0001
298,1.0099,0.0171,0.0001
299,1.0045,0.0208,0.0001
300,1.0012,0.0172,0.0001
301,1.0095,0.0351,0.0001
302,1.0062,0.0205,0.0001
303,1.0094,0.0293,0.0001
304,0.9964,0.0102,0.0001
305,1.007,0.0269,0.0001
306,1.0143,0.0345,0.0001
307,1.0121,0.0073,0.0001
308,1.0018,0.0463,0.0001
309,1.0082,0.0379,0.0001
310,1.0085,0.0395,0.0001
311,1.0068,0.012,0.0001
312,1.0033,0.0264,0.0001
313,1.0064,0.0106,0.0001
314,1.008,0.0168,0.0001
315,1.0045,0.016,0.0001
316,0.9965,0.0339,0.0001
317,1.0055,0.0459,0.0001
318,1.0047,0.0497,0.0001
319,1.0076,0.0368,0.0001
320,1.0116,0.0116,0.0001
321,1.0101,0.0143,0.0001
322,1.0121,0.0445,0.0001
323,1.0097,0.0271,0.0001
324,1.0125,0.0474,0.0001
325,1.0116,0.0409,0.0001
326,1.0109,0.0363,0.0001
327,1.0042,0.0256,0.0001
328,1.0018,0.0305,0.0001
329,1.0123,0.0493,0.0001
330,1.005,0.0236,0.0001
331,1.0031,0.0081,0.0001
332,1.0078,0.0448,0.0001
333,1.0112,0.0629,0.0001
334,1.0105,0.0201,0.0001
335,1.0093,0.0327,0.0001
336,1.0063,0.0399,0.0001
337,1.0082,0.027,0.0001
338,1.0143,0.029,0.0001
339,1.0016,0.0158,0.0001
340,1.0092,0.0123,0.0001
341,1.0065,0.0169,0.0001
342,1.0061,0.0098,0.0001
343,1.0126,0.0387,0.0001
344,1.0016,0.0568,0.0001
345,1.0049,0.0402,0.0001
346,1.0058,0.0334,0.0001
347,1.0054,0.0499,0.0001
348,1.0061,0.0065,0.0001
349,1.0084,0.0227,0.0001
350,1.0083,0.0437,0.0001
351,1.007,0.0298,0.0001
352,1.0059,0.0378,0.0001
353,1.001,0.0486,0.0001
354,1.0136,0.0572,0.0001
355,1.013,0.0183,0.0001
356,1.0092,0.0083,0.0001
357,1.0108,0.0248,0.0001
358,0.9972,0.0215,0.0001
359,1.0027,0.0385,0.0001
360,1.0046,0.0268,0.0001
361,1.009,0.0279,0.0001
362,1.0113,0.0093,0.0001
363,1.0092,0.0139,0.0001
364,1.0034,0.0396,0.0001
365,1.0078,0.0413,0.0001
366,1.0077,0.0349,0.0001
367,1.002,0.0178,0.0001
368,1.0109,0.0256,0.0001
369,1.0092,0.0634,0.0001
370,1.0014,0.047,0.0001
371,1.0081,0.0556,0.0001
372,1.0089,0.0528,0.0001
373,1.0082,0.0233,0.0001
374,1.0089,0.0437,0.0001
375,0.9996,0.0149,0.0001
376,1.0133,0.0305,0.0001
377,1.0019,0.025,0.0001
378,1.0024,0.0269,0.0001
379,1.0081,0.0432,0.0001
380,1.0019,0.0327,0.0001
381,1.0106,0.0512,0.0001
