index,a_g,alpha_rad_s2,CP
0,0.0,0.0,0.0
1,1.0051,0.2598,0.0001
2,1.0097,0.0195,0.0001
3,1.0001,0.0784,0.0001
4,0.9989,0.0398,0.0001
5,1.0015,0.1482,0.0001
6,3.4641,39.2991,0.0001
7,3.464,146.0919,0.0001
8,2.1137,224.1262,0.0001
9,1.1692,70.2125,0.0001
10,0.8426,18.5026,0.0001
11,1.2932,18.4403,0.0001
12,0.7429,24.4387,0.0001
13,0.8204,22.3397,0.0001
14,1.2294,35.1986,0.0001
15,1.1126,64.0093,0.0001
16,1.0626,33.0792,0.0001
17,0.9165,3.596,0.0001
18,0.969,13.5162,0.0001
19,0.9918,13.4659,0.0001
20,1.0658,3.2472,0.0001
21,1.0154,6.9826,0.0001
22,1.0185,4.983,0.0001
23,1.0098,7.0564,0.0001
24,1.048,8.4824,0.0001
25,1.0108,10.5178,0.0001
26,1.0106,6.3694,0.0001
27,1.0115,4.2911,0.0001
28,1.0209,1.7744,0.0001
29,1.0111,1.1697,0.0001
30,1.0007,0.5557,0.0001
31,0.9911,1.9112,0.0001
32,1.0021,2.5956,0.0001
33,0.9996,4.1527,0.0001
34,1.0046,4.2663,0.0001
35,1.0089,2.4706,0.0001
36,1.0093,1.232,0.0001
37,1.0037,0.3345,0.0001
38,1.0059,0.1222,0.0001
39,1.004,0.7148,0.0001
40,1.0138,1.1078,0.0001
41,1.0138,2.0647,0.0001
42,1.0108,2.1323,0.0001
43,1.0024,1.3738,0.0001
44,1.0084,0.2238,0.0001
45,1.011,0.5127,0.0001
46,1.0043,0.4811,0.0001
47,1.0002,0.6304,0.0001
48,1.0106,0.8493,0.0001
49,1.0074,0.57,0.0001
50,1.0052,0.1678,0.0001
51,1.0102,0.2977,0.0001
52,1.0127,0.2324,0.0001
53,1.0142,0.4201,0.0001
54,1.004,0.2525,0.0001
55,1.0179,0.3481,0.0001
56,1.0028,0.3501,0.0001
57,1.0091,0.0938,0.0001
58,1.0088,0.2844,0.0001
59,1.0128,0.037,0.0001
60,1.0104,0.2124,0.0001
61,1.0137,0.1203,0.0001
62,1.0016,0.4289,0.0001
63,0.9987,0.0691,0.0001
64,0.9984,0.1026,0.0001
65,1.011,0.1651,0.0001
66,1.0174,0.0758,0.0001
67,1.0083,0.2157,0.0001
68,1.0095,0.0561,0.0001
69,1.0052,0.1034,0.0001
70,1.0057,0.1856,0.0001
71,0.9984,0.0816,0.0001
72,1.0131,0.2572,0.0001
73,0.999,0.2723,0.0001
74,1.0037,0.0733,0.0001
75,1.0067,0.1335,0.0001
76,1.0055,0.1303,0.0001
77,1.0085,0.0667,0.0001
78,1.0008,0.092,0.0001
79,1.0109,0.1231,0.0001
80,1.0131,0.1983,0.0001
81,1.0083,0.0214,0.0001
82,1.0034,0.0361,0.0001
83,1.0057,0.0512,0.0001
84,1.0137,0.1279,0.0001
85,1.0045,0.0892,0.0001
86,1.0115,0.2429,0.0001
87,1.01,0.1168,0.0001
88,1.0091,0.1361,0.0001
89,1.0094,0.1216,0.0001
90,1.0016,0.111,0.0001
91,1.0067,0.0523,0.0001
92,1.0137,0.0365,0.0001
93,1.0083,0.1063,0.0001
94,1.0092,0.0477,0.0001
95,1.0052,0.1319,0.0001
96,0.9965,0.2498,0.0001
97,1.0079,0.0856,0.0001
98,1.0071,0.0497,0.0001
99,1.005,0.0184,0.0001
100,1.0018,0.1801,0.0001
101,1.0044,0.0289,0.0001
102,1.0017,0.0127,0.0001
103,1.0077,0.0678,0.0001
104,1.0059,0.0152,0.0001
105,1.0024,0.0114,0.0001
106,1.0095,0.0102,0.0001
107,1.0127,0.0157,0.0001
108,1.0033,0.1246,0.0001
109,1.0014,0.0244,0.0001
110,1.0026,0.0206,0.0001
111,1.0091,0.0148,0.0001
112,1.0047,0.0092,0.0001
113,1.0008,0.1091,0.0001
114,1.0086,0.0215,0.0001
115,1.0069,0.0886,0.0001
116,1.0078,0.0304,0.0001
117,1.0017,0.0604,0.0001
118,1.0025,0.0338,0.0001
119,1.0112,0.0298,0.0001
120,1.0061,0.0106,0.0001
121,1.0092,0.196,0.0001
122,1.0078,0.0268,0.0001
123,1.0039,0.0228,0.0001
124,1.0103,0.0481,0.0001
125,1.0091,0.1261,0.0001
126,0.9952,0.0369,0.0001
127,1.0066,0.0206,0.0001
128,1.0073,0.0341,0.0001
129,1.0107,0.0104,0.0001
130,1.0088,0.0398,0.0001
131,1.0063,0.0623,0.0001
132,1.0082,0.0238,0.0001
133,1.0085,0.0216,0.0001
134,1.0068,0.0119,0.0001
135,1.002,0.026,0.0001
136,1.0105,0.023,0.0001
137,1.0082,0.0265,0.0001
138,1.0114,0.0109,0.0001
139,1.0035,0.0499,0.0001
140,1.0077,0.0484,0.0001
141,1.0076,0.0343,0.0001
142,1.007,0.0235,0.0001
143,1.0095,0.0114,0.0001
144,1.0044,0.0218,0.0001
