index,a_g,alpha_rad_s2,CP
202,1.012,0.0265,0.0001
203,1.0138,0.0128,0.0001
204,1.0082,0.021,0.0001
205,1.0085,0.0228,0.0001
206,1.0084,0.0277,0.0001
207,1.005,0.021,0.0001
208,1.0147,0.0101,0.0001
209,1.0076,0.0174,0.0001
210,1.0105,0.046,0.0001
211,1.0196,0.0513,0.0001
212,1.0253,0.0345,0.0001
213,1.0153,0.0205,0.0001
214,1.0148,0.0459,0.0001
215,1.01,0.0319,0.0001
216,1.0173,0.0359,0.0001
217,1.0146,0.0285,0.0001
218,1.0128,0.0312,0.0001
219,1.0076,0.0265,0.0001
220,1.0095,0.0156,0.0001
221,1.0165,0.035,0.0001
222,1.0175,0.0203,0.0001
223,1.0138,0.0325,0.0001
224,1.0173,0.0185,0.0001
225,1.0102,0.0176,0.0001
226,1.0188,0.0287,0.0001
227,1.0041,0.0315,0.0001
228,1.0122,0.015,0.0001
229,1.0147,0.0446,0.0001
230,1.0131,0.0723,0.0001
231,1.0123,0.0324,0.0001
232,1.0115,0.0575,0.0001
233,1.0125,0.0384,0.0001
234,1.0207,0.0359,0.0001
235,1.0116,0.0233,0.0001
236,1.0064,0.0259,0.0001
237,1.0169,0.0277,0.0001
238,1.0108,0.0322,0.0001
239,1.0152,0.0464,0.0001
240,1.0202,0.0397,0.0001
241,1.0138,0.0364,0.0001
242,1.0143,0.0253,0.0001
243,1.0138,0.0278,0.0001
244,1.0096,0.0236,0.0001
245,1.012,0.0253,0.0001
246,1.0153,0.0394,0.0001
247,1.0237,0.0166,0.0001
248,1.0056,0.0167,0.0001
249,1.0185,0.0161,0.0001
250,1.0162,0.0234,0.0001
251,1.016,0.0349,0.0001
252,1.0124,0.0503,0.0001
253,1.0101,0.029,0.0001
254,1.0131,0.0179,0.0001
255,1.0122,0.0481,0.0001
256,1.0152,0.0195,0.0001
257,1.0153,0.0223,0.0001
258,1.0143,0.0436,0.0001
259,1.013,0.0345,0.0001
260,1.0152,0.0262,0.0001
261,1.0171,0.0383,0.0001
262,1.0075,0.0301,0.0001
263,1.0123,0.0283,0.0001
264,1.0143,0.0466,0.0001
265,1.0165,0.0171,0.0001
266,1.0033,0.0182,0.0001
267,1.0102,0.0175,0.0001
268,1.0141,0.0334,0.0001
269,1.0156,0.0091,0.0001
270,1.0078,0.0338,0.0001
271,1.0102,0.0275,0.0001
272,1.0134,0.0129,0.0001
273,1.0126,0.0217,0.0001
274,1.0103,0.0192,0.0001
275,1.0204,0.0278,0.0001
276,1.015,0.0537,0.0001
277,1.0061,0.0684,0.0001
278,1.0084,0.0131,0.0001
279,1.0123,0.0159,0.0001
280,1.0107,0.0397,0.0001
281,1.0177,0.0178,0.0001
282,1.011,0.0196,0.0001
283,1.0202,0.0347,0.0001
284,1.0089,0.0343,0.0001
285,1.0127,0.0174,0.0001
286,1.0232,0.0579,0.0001
287,1.0063,0.0583,0.0001
288,1.0179,0.0101,0.0001
289,1.0058,0.029,0.0001
290,1.0138,0.0183,0.0001
291,1.0119,0.016,0.0001
292,1.0138,0.0249,0.0001
293,1.8724,43.4218,0.0001
294,0.8077,24.4853,0.0001
295,1.1742,29.0673,0.0001
296,0.9981,12.0252,0.0001
297,0.9939,2.1167,0.0001
298,1.0069,4.1277,0.0001
299,1.0141,0.6263,0.0001
300,0.9962,3.9244,0.0001
301,1.0071,6.6414,0.0001
302,0.9956,7.6363,0.0001
303,1.0022,5.9808,0.0001
304,1.0103,0.4042,0.0001
305,1.0079,2.7525,0.0001
306,1.0172,3.0079,0.0001
307,1.0104,0.7144,0.0001
308,1.0118,1.0733,0.0001
309,0.9987,1.1638,0.0001
310,1.0116,0.2799,0.0001
311,1.0082,0.6484,0.0001
312,1.0157,0.3017,0.0001
313,1.0072,0.0256,0.0001
314,1.0013,0.0995,0.0001
315,1.009,0.0687,0.0001
316,1.0088,0.1826,0.0001
317,1.0084,0.1267,0.0001
318,1.0041,0.0343,0.0001
319,1.0094,0.106,0.0001
320,1.0052,0.0914,0.0001
321,1.0079,0.0463,0.0001
322,1.0116,0.0361,0.0001
323,1.0119,0.0739,0.0001
324,1.006,0.0776,0.0001
325,1.0078,0.0288,0.0001
326,1.0081,0.0436,0.0001
327,1.0075,0.059,0.0001
328,1.0005,0.0401,0.0001
329,1.0063,0.0231,0.0001
330,1.0063,0.0056,0.0001
331,1.0083,0.0223,0.0001
332,1.0095,0.04,0.0001
333,1.0059,0.036,0.0001
334,0.9997,0.0432,0.0001
335,1.0118,0.0404,0.0001
336,1.0141,0.0427,0.0001
337,1.0048,0.0312,0.0001
338,1.0079,0.0302,0.0001
339,1.0031,0.0226,0.0001
340,1.0028,0.0148,0.0001
341,1.0001,0.0477,0.0001
342,1.0038,0.0695,0.0001
343,1.0028,0.0502,0.0001
344,1.0131,0.0356,0.0001
345,0.9972,0.0405,0.0001
346,1.0063,0.0109,0.0001
347,1.0085,0.0104,0.0001
348,1.007,0.0201,0.0001
349,1.0061,0.0344,0.0001
350,1.0064,0.0485,0.0001
351,1.0039,0.0275,0.0001
352,1.0128,0.0112,0.0001
353,1.0103,0.0195,0.0001
354,1.0031,0.0199,0.0001
355,1.0058,0.0325,0.0001
356,1.0064,0.0523,0.0001
357,1.0076,0.0386,0.0001
358,1.0092,0.0294,0.0001
359,1.0058,0.0239,0.0001
360,1.0085,0.0092,0.0001
361,1.0123,0.0225,0.0001
362,1.0146,0.0603,0.0001
363,1.0148,0.0612,0.0001
364,1.0095,0.0248,0.0001
365,1.0142,0.0225,0.0001
366,1.0114,0.035,0.0001
367,1.01,0.044,0.0001
368,1.0044,0.0148,0.0001
369,1.0139,0.0203,0.0001
370,0.999,0.0267,0.0001
371,1.0088,0.0327,0.0001
372,1.0066,0.0257,0.0001
373,1.0041,0.005,0.0001
374,1.0104,0.0323,0.0001
375,1.01,0.0166,0.0001
376,1.016,0.0126,0.0001
377,1.0027,0.0403,0.0001
378,1.0101,0.0429,0.0001
379,1.0101,0.0584,0.0001
380,1.0065,0.0275,0.0001
381,1.0102,0.032,0.0001
382,1.013,0.0259,0.0001
383,1.0084,0.0371,0.0001
384,1.0047,0.0326,0.0001
385,1.0042,0.0208,0.0001
386,1.0075,0.018,0.0001
387,1.0047,0.0287,0.0001
388,1.013,0.035,0.0001
389,1.0018,0.0372,0.0001
390,1.01,0.0255,0.0001
391,1.0027,0.0182,0.0001
392,1.004,0.0404,0.0001
393,1.0057,0.0196,0.0001
394,1.0102,0.0315,0.0001
395,1.0125,0.0392,0.0001
396,1.0054,0.0588,0.0001
397,1.0059,0.0158,0.0001
398,1.0013,0.0453,0.0001
399,1.0078,0.0388,0.0001
400,1.0045,0.0251,0.0001
401,1.0126,0.0191,0.0001
402,1.0089,0.0429,0.0001
403,1.0093,0.0324,0.0001
404,1.0063,0.0154,0.0001
405,1.0094,0.0371,0.0001
406,1.0065,0.0177,0.0001
407,1.0125,0.0426,0.0001
408,1.0044,0.0089,0.0001
409,1.0151,0.0169,0.0001
410,1.0067,0.0096,0.0001
411,1.0061,0.02,0.0001
412,1.0049,0.0268,0.0001
413,1.0061,0.0459,0.0001
414,1.0008,0.0225,0.0001
415,1.0028,0.0497,0.0001
416,1.0006,0.0148,0.0001
417,1.0042,0.0288,0.0001
418,1.0077,0.0406,0.0001
419,1.0078,0.0378,0.0001
420,1.0064,0.0317,0.0001
421,1.0091,0.0442,0.0001
422,1.0099,0.028,0.0001
423,1.0078,0.029,0.0001
424,1.0072,0.0481,0.0001
425,1.004,0.0224,0.0001
426,1.0014,0.0397,0.0001
427,1.0031,0.0455,0.0001
428,1.0109,0.0229,0.0001
429,1.003,0.0291,0.0001
430,1.0105,0.0228,0.0001
431,1.0109,0.0427,0.0001
432,1.009,0.0187,0.0001
433,1.0128,0.0346,0.0001
434,1.0098,0.0271,0.0001
435,1.0124,0.0217,0.0001
436,1.0052,0.037,0.0001
437,1.0063,0.0386,0.0001
438,1.0167,0.0344,0.0001
439,0.9952,0.0159,0.0001
440,1.0097,0.0215,0.0001
441,1.0106,0.0192,0.0001
442,1.0086,0.0286,0.0001
443,1.0046,0.0486,0.0001
444,1.0029,0.0226,0.0001
445,1.0123,0.007,0.0001
446,1.0091,0.0241,0.0001
447,1.0099,0.0094,0.0001
448,1.0056,0.1193,0.0001
449,1.0139,0.0063,0.0001
450,1.0072,0.0107,0.0001
451,0.9971,0.0115,0.0001
452,1.0032,0.0112,0.0001
453,1.0134,0.0621,0.0001
454,1.0088,0.0259,0.0001
455,1.0069,0.0177,0.0001
456,1.0004,0.2634,0.0001
457,1.0137,0.0172,0.0001
458,1.01,0.01,0.0001
459,1.0043,0.0358,0.0001
460,1.0091,0.2475,0.0001
461,1.0055,0.0262,0.0001
462,1.0109,0.0126,0.0001
463,1.0098,0.0251,0.0001
464,1.0093,0.0154,0.0001
465,1.0099,0.0328,0.0001
466,1.0116,0.0299,0.0001
467,0.9987,0.0097,0.0001
468,1.0022,0.0207,0.0001
469,1.0051,0.0241,0.0001
470,1.0097,0.0122,0.0001
471,1.0116,0.0203,0.0001
472,1.0034,0.0345,0.0001
473,1.01,0.0288,0.0001
474,1.0102,0.0293,0.0001
475,1.0121,0.0126,0.0001
476,1.0037,0.0193,0.0001
477,1.0083,0.0166,0.0001
478,1.0189,0.0464,0.0001
479,1.0033,0.0167,0.0001
480,1.0079,0.0287,0.0001
481,1.0045,0.0404,0.0001
482,1.0134,0.0144,0.0001
483,1.0097,0.0324,0.0001
484,1.0109,0.0509,0.0001
485,1.0034,0.0442,0.0001
486,1.0075,0.0348,0.0001
487,1.0063,0.0223,0.0001
488,1.0003,0.0165,0.0001
489,1.0041,0.0127,0.0001
490,1.0106,0.0195,0.0001
491,1.0101,0.0292,0.0001
492,1.0104,0.0409,0.0001
493,1.0076,0.0537,0.0001
494,1.0029,0.0159,0.0001
495,1.0038,0.0187,0.0001
496,1.0035,0.0198,0.0001
497,1.0042,0.0229,0.0001
498,1.0037,0.0389,0.0001
499,1.0073,0.0303,0.0001
500,1.0059,0.0269,0.0001
501,1.0052,0.032,0.0001
502,1.0029,0.0158,0.0001
503,1.0086,0.0279,0.0001
504,1.0082,0.0194,0.0001
505,1.0104,0.0338,0.0001
506,1.0041,0.0488,0.0001
507,1.01,0.0314,0.0001
508,1.0078,0.0348,0.0001
509,1.0077,0.0177,0.0001
510,1.0078,0.0182,0.0001
511,1.0129,0.0166,0.0001
512,1.0119,0.0116,0.0001
513,1.008,0.0166,0.0001
514,1.0117,0.0214,0.0001
515,1.0087,0.054,0.0001
516,1.0045,0.0488,0.0001
517,1.0096,0.0245,0.0001
518,1.0085,0.0192,0.0001
519,1.0062,0.0027,0.0001
520,1.0058,0.0131,0.0001
521,1.0121,0.0131,0.0001
522,1.0005,0.0028,0.0001
523,1.0027,0.0303,0.0001
524,1.0085,0.0331,0.0001
525,1.0082,0.0192,0.0001
526,0.999,0.0117,0.0001
527,1.0128,0.0215,0.0001
528,1.0109,0.0213,0.0001
529,1.0174,0.0402,0.0001
530,1.0155,0.0419,0.0001
531,1.0046,0.0238,0.0001
532,1.0049,0.0193,0.0001
533,1.0088,0.0327,0.0001
534,1.0064,0.0246,0.0001
535,1.0051,0.0303,0.0001
536,1.0094,0.0359,0.0001
537,1.0063,0.0272,0.0001
538,1.0064,0.006,0.0001
539,1.0135,0.0191,0.0001
540,1.0071,0.0335,0.0001
541,1.0089,0.0151,0.0001
542,1.0068,0.038,0.0001
543,1.003,0.0395,0.0001
544,1.012,0.0137,0.0001
545,1.0065,0.0264,0.0001
546,1.0087,0.0462,0.0001
547,1.0035,0.0342,0.0001
548,1.0082,0.0134,0.0001
549,1.0132,0.0428,0.0001
550,1.0147,0.0339,0.0001
551,1.002,0.0323,0.0001
552,1.0105,0.0199,0.0001
553,1.0111,0.0253,0.0001
554,1.0013,0.0176,0.0001
555,1.0083,0.0196,0.0001
556,1.0063,0.0349,0.0001
557,1.0132,0.0387,0.0001
558,1.0056,0.0281,0.0001
559,1.0107,0.0158,0.0001
560,1.0035,0.0229,0.0001
561,1.0163,0.0172,0.0001
562,1.0049,0.0328,0.0001
563,1.0019,0.0103,0.0001
564,1.0086,0.0209,0.0001
565,1.0028,0.0157,0.0001
566,1.0099,0.0167,0.0001
567,1.0129,0.0433,0.0001
568,0.999,0.0326,0.0001
569,1.0066,0.0194,0.0001
570,1.0116,0.0122,0.0001
571,1.0113,0.0475,0.0001
572,1.0035,0.0124,0.0001
573,0.9969,0.0457,0.0001
574,1.0101,0.008,0.0001
575,1.0095,0.0175,0.0001
576,1.0065,0.0097,0.0001
577,1.011,0.0291,0.0001
578,1.0104,0.0369,0.0001
579,1.0077,0.0161,0.0001
580,1.0067,0.0157,0.0001
581,1.0072,0.0174,0.0001
582,1.0039,0.0495,0.0001
583,1.0141,0.0089,0.0001
584,1.006,0.0206,0.0001
585,1.0043,0.0161,0.0001
586,1.0104,0.0166,0.0001
587,1.0129,0.0249,0.0001
588,1.0031,0.0167,0.0001
589,1.0102,0.0636,0.0001
590,1.0043,0.031,0.0001
591,1.0066,0.0409,0.0001
592,1.0068,0.0225,0.0001
593,1.003,0.0195,0.0001
594,1.0099,0.0155,0.0001
595,1.0077,0.0169,0.0001
596,1.0076,0.0172,0.0001
597,1.0157,0.0107,0.0001
598,1.0128,0.0286,0.0001
599,1.013,0.0706,0.0001
