index,a_g,alpha_rad_s2,CP
0,1.0196,0.0504,0.0001
1,1.0122,0.018,0.0001
2,1.01,0.0036,0.0001
3,1.01,0.0298,0.0001
4,1.0115,0.0265,0.0001
5,1.0094,0.046,0.0001
6,1.0121,0.0288,0.0001
7,1.0135,0.0263,0.0001
8,1.016,0.036,0.0001
9,1.0178,0.0128,0.0001
10,1.0113,0.0352,0.0001
11,1.0106,0.0332,0.0001
12,1.0131,0.0078,0.0001
13,1.0167,0.0288,0.0001
14,1.0186,0.0502,0.0001
15,1.0134,0.0498,0.0001
16,1.0131,0.0205,0.0001
17,1.0147,0.0431,0.0001
18,1.0183,0.0471,0.0001
19,1.0089,0.0416,0.0001
20,1.0084,0.0263,0.0001
21,1.018,0.0126,0.0001
22,1.0086,0.0173,0.0001
23,1.0108,0.0229,0.0001
24,1.0161,0.0199,0.0001
25,1.0092,0.0139,0.0001
26,1.0152,0.0527,0.0001
27,1.0122,0.0309,0.0001
28,1.0121,0.0366,0.0001
29,1.0123,0.0294,0.0001
30,1.0047,0.0387,0.0001
31,1.0142,0.0264,0.0001
32,1.0089,0.0101,0.0001
33,1.0112,0.0389,0.0001
34,1.0143,0.0188,0.0001
35,1.0122,0.0543,0.0001
36,1.0133,0.0316,0.0001
37,1.0086,0.0358,0.0001
38,1.0114,0.0363,0.0001
39,1.0059,0.0281,0.0001
40,1.0125,0.0359,0.0001
41,1.0113,0.0222,0.0001
42,1.0055,0.0146,0.0001
43,1.0071,0.0165,0.0001
44,1.0162,0.0318,0.0001
45,1.0104,0.0186,0.0001
46,1.0087,0.0356,0.0001
47,1.0091,0.0313,0.0001
48,1.0154,0.043,0.0001
49,1.0155,0.0139,0.0001
50,1.0118,0.0063,0.0001
51,1.0149,0.0389,0.0001
52,1.0136,0.0052,0.0001
53,1.0097,0.0826,0.0001
54,1.0102,0.0248,0.0001
55,1.0155,0.0178,0.0001
56,1.0047,0.1346,0.0001
57,1.0123,0.0033,0.0001
58,1.0071,0.0193,0.0001
59,1.0139,0.1368,0.0001
60,1.0066,0.0063,0.0001
61,1.0207,0.0022,0.0001
62,1.0199,0.0178,0.0001
63,1.021,0.0257,0.0001
64,1.0099,0.0077,0.0001
65,1.0164,0.224,0.0001
66,1.0125,0.031,0.0001
67,1.0144,0.0123,0.0001
68,1.0084,0.0824,0.0001
69,1.0152,0.0646,0.0001
70,1.0072,0.0414,0.0001
71,1.0126,0.0383,0.0001
72,1.021,0.0329,0.0001
73,1.0194,0.0207,0.0001
74,1.0064,0.0211,0.0001
75,1.0205,0.0377,0.0001
76,1.0161,0.0197,0.0001
77,1.0142,0.0206,0.0001
78,1.016,0.0272,0.0001
79,1.0156,0.0107,0.0001
80,1.0128,0.0098,0.0001
81,1.0248,0.0115,0.0001
82,1.0092,0.0257,0.0001
83,1.0105,0.0432,0.0001
84,1.0158,0.0877,0.0001
85,1.0107,0.0678,0.0001
86,1.0165,0.0396,0.0001
87,1.0139,0.0212,0.0001
88,1.0142,0.0323,0.0001
89,1.0164,0.038,0.0001
90,1.0072,0.0318,0.0001
91,1.0075,0.0238,0.0001
92,1.0094,0.0252,0.0001
93,1.0176,0.029,0.0001
94,1.0165,0.0177,0.0001
95,1.0125,0.0093,0.0001
96,1.0083,0.0077,0.0001
97,1.0117,0.0075,0.0001
98,1.0191,0.0257,0.0001
99,1.0142,0.0117,0.0001
100,1.0068,0.0301,0.0001
101,1.0155,0.0187,0.0001
102,1.0089,0.0224,0.0001
103,1.0168,0.0198,0.0001
104,1.0092,0.0263,0.0001
105,1.0098,0.0124,0.0001
106,1.0146,0.029,0.0001
107,1.0127,0.0172,0.0001
108,1.0122,0.0404,0.0001
109,1.0142,0.0199,0.0001
110,1.0166,0.0206,0.0001
111,1.012,0.025,0.0001
112,1.014,0.02,0.0001
113,1.0146,0.0227,0.0001
114,1.0145,0.0418,0.0001
115,1.0185,0.0756,0.0001
116,1.0066,0.0426,0.0001
117,1.0145,0.0552,0.0001
118,1.0033,0.0406,0.0001
119,1.0163,0.0325,0.0001
120,1.0147,0.0127,0.0001
121,1.0168,0.0187,0.0001
122,1.016,0.0327,0.0001
123,1.0193,0.0159,0.0001
124,1.0113,0.011,0.0001
125,1.0197,0.0167,0.0001
126,1.0122,0.0278,0.0001
127,1.0088,0.0423,0.0001
128,1.0178,0.0323,0.0001
129,1.01,0.0229,0.0001
130,1.0143,0.0157,0.0001
131,1.0125,0.0617,0.0001
132,1.0174,0.0241,0.0001
133,1.0115,0.0142,0.0001
134,1.0148,0.0247,0.0001
135,1.0114,0.058,0.0001
136,1.0215,0.0475,0.0001
137,1.0076,0.0149,0.0001
138,1.012,0.0346,0.0001
139,1.0072,0.0129,0.0001
140,1.017,0.0382,0.0001
141,1.0094,0.0381,0.0001
142,1.0143,0.0276,0.0001
143,1.0082,0.0398,0.0001
144,1.0143,0.0579,0.0001
145,1.0126,0.0047,0.0001
146,1.0131,0.0258,0.0001
147,1.0146,0.0363,0.0001
148,1.0108,0.0456,0.0001
149,1.0098,0.0346,0.0001
150,1.0115,0.0415,0.0001
151,1.0146,0.0364,0.0001
152,1.0184,0.0438,0.0001
153,1.0158,0.038,0.0001
154,1.0117,0.0282,0.0001
155,1.0153,0.0375,0.0001
156,1.0124,0.0464,0.0001
157,1.0126,0.0402,0.0001
158,1.0128,0.0259,0.0001
159,1.0096,0.0081,0.0001
160,1.0057,0.0229,0.0001
161,1.0123,0.0135,0.0001
162,1.011,0.0438,0.0001
163,1.0108,0.0128,0.0001
164,1.0069,0.0233,0.0001
165,1.0178,0.0309,0.0001
166,1.0158,0.0277,0.0001
167,1.0113,0.0289,0.0001
168,1.0147,0.0447,0.0001
169,1.0166,0.0385,0.0001
170,1.0161,0.0388,0.0001
171,1.0118,0.0153,0.0001
172,1.0145,0.0198,0.0001
173,1.012,0.0248,0.0001
174,1.014,0.0193,0.0001
175,1.0066,0.0477,0.0001
176,1.0065,0.0295,0.0001
177,1.0146,0.0083,0.0001
178,1.0239,0.0168,0.0001
179,1.0032,0.0514,0.0001
180,1.0019,0.0556,0.0001
181,1.0099,0.0224,0.0001
182,1.0159,0.0301,0.0001
183,1.0129,0.0123,0.0001
184,1.0176,0.0271,0.0001
185,1.0078,0.0188,0.0001
186,1.0146,0.0499,0.0001
187,1.0177,0.027,0.0001
188,1.0156,0.0453,0.0001
189,1.0131,0.0474,0.0001
190,1.0155,0.0189,0.0001
191,1.0178,0.0165,0.0001
192,1.0163,0.0371,0.0001
193,1.0166,0.0191,0.0001
194,1.0146,0.0196,0.0001
195,1.009,0.02,0.0001
196,1.0156,0.0261,0.0001
197,1.0169,0.0107,0.0001
198,1.0213,0.0342,0.0001
199,1.0175,0.0497,0.0001
200,1.0129,0.0132,0.0001
201,1.0158,0.0204,0.0001
